© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Estrogen Biosynthesis	5E-01	2.22E-02	NaN	CYP2A6 (includes others)	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	4.92E-01	2.17E-02	NaN	CCNF	
tRNA Splicing	4.92E-01	2.17E-02	NaN	APEX1	
IL-23 Signaling Pathway	4.92E-01	2.17E-02	NaN	NFKBIA	
RAC Signaling	4.91E-01	1.45E-02	NaN	MAP2K7,RHOA	
nNOS Signaling in Neurons	4.85E-01	2.13E-02	NaN	PRKCE	
Ephrin A Signaling	4.85E-01	2.13E-02	NaN	RHOA	
Apelin Muscle Signaling Pathway	4.78E-01	2.08E-02	NaN	GNAT2	
Melanoma Signaling	4.63E-01	2E-02	NaN	PTEN	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	4.63E-01	2E-02	NaN	CUL1	
UVC-Induced MAPK Signaling	4.56E-01	1.96E-02	NaN	PRKCE	
Amyloid Processing	4.56E-01	1.96E-02	NaN	PRKCE	
UVB-Induced MAPK Signaling	4.5E-01	1.92E-02	NaN	PRKCE	
PTEN Signaling	4.45E-01	1.33E-02	NaN	CASP9,PTEN	
Sperm Motility	4.42E-01	1.18E-02	NaN	GNAT2,MAP2K7,PRKCE	
Phototransduction Pathway	4.37E-01	1.85E-02	NaN	GNAT2	
EGF Signaling	4.31E-01	1.82E-02	NaN	MAP2K7	
Oxidative Ethanol Degradation III	4.24E-01	1.79E-02	NaN	CYP2A6 (includes others)	
FAT10 Signaling Pathway	4.24E-01	1.79E-02	NaN	SQSTM1	
Epithelial Adherens Junction Signaling	4.2E-01	1.27E-02	NaN	PTEN,RHOA	
eNOS Signaling	4.13E-01	1.26E-02	NaN	CASP9,PRKCE	
MSP-RON Signaling Pathway	4.12E-01	1.72E-02	NaN	KLK2	
Nicotine Degradation III	4.12E-01	1.72E-02	NaN	CYP2A6 (includes others)	
Cancer Drug Resistance By Drug Efflux	4.12E-01	1.72E-02	NaN	PTEN	
Retinoic acid Mediated Apoptosis Signaling	4.01E-01	1.67E-02	NaN	CASP9	
PCP (Planar Cell Polarity) Pathway	4.01E-01	1.67E-02	NaN	RHOA	
SPINK1 Pancreatic Cancer Pathway	4.01E-01	1.67E-02	NaN	KLK2	
Aldosterone Signaling in Epithelial Cells	3.97E-01	1.22E-02	NaN	PRKCE,SCNN1G	
Human Embryonic Stem Cell Pluripotency	3.9E-01	1.2E-02	NaN	GNAT2,NTF4	
Melatonin Degradation I	3.9E-01	1.61E-02	NaN	CYP2A6 (includes others)	
HMGB1 Signaling	3.87E-01	1.2E-02	NaN	MAP2K7,RHOA	
Thrombopoietin Signaling	3.85E-01	1.59E-02	NaN	PRKCE	
ERB2-ERBB3 Signaling	3.75E-01	1.54E-02	NaN	PTEN	
Nicotine Degradation II	3.7E-01	1.52E-02	NaN	CYP2A6 (includes others)	
Superpathway of Melatonin Degradation	3.65E-01	1.49E-02	NaN	CYP2A6 (includes others)	
ERBB4 Signaling	3.6E-01	1.47E-02	NaN	PRKCE	
Eicosanoid Signaling	3.6E-01	1.47E-02	NaN	PTGIR	
Tight Junction Signaling	3.56E-01	1.12E-02	NaN	PTEN,RHOA	
Growth Hormone Signaling	3.46E-01	1.41E-02	NaN	PRKCE	
Glioma Invasiveness Signaling	3.37E-01	1.37E-02	NaN	RHOA	
IL-17 Signaling	3.31E-01	1.07E-02	NaN	MAP3K7,TRAF2	
Xenobiotic Metabolism CAR Signaling Pathway	3.23E-01	1.05E-02	NaN	MAP2K7,PRKCE	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	3.17E-01	1.28E-02	NaN	NCOA2	
Leukocyte Extravasation Signaling	3.16E-01	1.04E-02	NaN	PRKCE,RHOA	
IL-3 Signaling	3.12E-01	1.27E-02	NaN	PRKCE	
Synaptic Long Term Depression	3.12E-01	1.03E-02	NaN	GNAT2,PRKCE	
Chemokine Signaling	3.09E-01	1.25E-02	NaN	RHOA	
Synaptogenesis Signaling Pathway	3.08E-01	9.55E-03	NaN	FARP1,PRKCE,RHOA	
ILK Signaling	3.05E-01	1.01E-02	NaN	PTEN,RHOA	
Pulmonary Healing Signaling Pathway	3.02E-01	1.01E-02	NaN	NFKBIA,PRKCE	
Ephrin Receptor Signaling	2.98E-01	9.95E-03	NaN	GNAT2,RHOA	
VEGF Family Ligand-Receptor Interactions	2.94E-01	1.19E-02	NaN	PRKCE	
Prolactin Signaling	2.87E-01	1.16E-02	NaN	PRKCE	
BMP signaling pathway	2.84E-01	1.15E-02	NaN	MAP3K7	
Regulation of Cellular Mechanics by Calpain Protease	2.77E-01	1.12E-02	NaN	CDK2	
Integrin Signaling	2.72E-01	9.39E-03	NaN	PTEN,RHOA	
Acute Myeloid Leukemia Signaling	2.71E-01	1.1E-02	NaN	MAP2K7	
RHOGDI Signaling	2.68E-01	9.3E-03	NaN	GNAT2,RHOA	
Actin Nucleation by ARP-WASP Complex	2.64E-01	1.08E-02	NaN	RHOA	
Non-Small Cell Lung Cancer Signaling	2.61E-01	1.06E-02	NaN	CASP9	
ERBB Signaling	2.61E-01	1.06E-02	NaN	PRKCE	
TGF-β Signaling	2.56E-01	1.04E-02	NaN	MAP3K7	
UVA-Induced MAPK Signaling	2.49E-01	1.02E-02	NaN	CASP9	
Neurovascular Coupling Signaling Pathway	2.48E-01	8.89E-03	NaN	PTGIR,RHOA	
VEGF Signaling	2.46E-01	1.01E-02	NaN	ARNT	
Neuropathic Pain Signaling In Dorsal Horn Neurons	2.41E-01	9.9E-03	NaN	PRKCE	
cAMP-mediated signaling	2.34E-01	8.58E-03	NaN	APEX1,PTGIR	
Virus Entry via Endocytic Pathways	2.33E-01	9.62E-03	NaN	PRKCE	
Mouse Embryonic Stem Cell Pluripotency	2.33E-01	9.62E-03	NaN	MAP3K7	
IGF-1 Signaling	2.33E-01	9.62E-03	NaN	CASP9	
Osteoarthritis Pathway	2.32E-01	8.55E-03	NaN	CASP9,IL1RAPL1	
Oxidative Phosphorylation	2.16E-01	9.01E-03	NaN	ATP5ME	
Regulation of Actin-based Motility by Rho	2.04E-01	8.62E-03	NaN	RHOA	
Role of Tissue Factor in Cancer	2.04E-01	8.62E-03	NaN	PTEN	
FAK Signaling	2.02E-01	8.55E-03	NaN	PTEN	
MSP-RON Signaling In Macrophages Pathway	2.02E-01	8.55E-03	NaN	KLK2	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	2E-01	8.47E-03	NaN	PRKCE	
Nitric Oxide Signaling in the Cardiovascular System	1.98E-01	8.4E-03	NaN	PRKCE	
Oxytocin Signaling Pathway	-0E00	7.17E-03	NaN	PRKCE,RHOA	
Natural Killer Cell Signaling	-0E00	5.03E-03	NaN	MAP3K7	
Circadian Rhythm Signaling	-0E00	7.52E-03	NaN	MAP2K7,PRKCE	
Actin Cytoskeleton Signaling	-0E00	4.08E-03	NaN	RHOA	
LXR/RXR Activation	-0E00	8.13E-03	NaN	IL1RAPL1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	6.41E-03	NaN	PRKCE	
Role of NFAT in Regulation of the Immune Response	-0E00	6.79E-03	NaN	CABIN1,GNAT2,NFKBIA,NFKBIB	
CCR5 Signaling in Macrophages	-0E00	4.01E-03	NaN	GNAT2,PRKCE	
Calcium-induced T Lymphocyte Apoptosis	-0E00	4.35E-03	NaN	CABIN1,PRKCE	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	2.35E-03	NaN	CASP9	
IL-15 Production	-0E00	8.13E-03	NaN	MAP2K7	
CD28 Signaling in T Helper Cells	-0E00	3.87E-03	NaN	NFKBIA,NFKBIB	
Dendritic Cell Maturation	-0E00	3.39E-03	NaN	NFKBIA,NFKBIB	
Renin-Angiotensin Signaling	-0E00	8.2E-03	NaN	PRKCE	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	5.92E-03	NaN	NFKBIA,NFKBIB,PTEN	
Corticotropin Releasing Hormone Signaling	-0E00	6.71E-03	NaN	PRKCE	
CREB Signaling in Neurons	-0E00	6.62E-03	NaN	GNAT2,PRKCE,PRLHR,PTGIR	
p70S6K Signaling	-0E00	7.58E-03	NaN	PRKCE	
Communication between Innate and Adaptive Immune Cells	-0E00	1.08E-03	NaN	TNFRSF17	
RHOA Signaling	-0E00	8.06E-03	NaN	RHOA	
Phospholipase C Signaling	-0E00	2.95E-03	NaN	PRKCE,RHOA	
Ovarian Cancer Signaling	-0E00	6.33E-03	NaN	PTEN	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	2.03E-03	NaN	TNFRSF17	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	6.51E-03	NaN	MAP2K7,NFKBIA,NFKBIB	
NUR77 Signaling in T Lymphocytes	-0E00	5.86E-03	NaN	CABIN1,CASP9,PRKCE	
PKCθ Signaling in T Lymphocytes	-0E00	5.38E-03	NaN	MAP3K7,NFKBIA,NFKBIB	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	4.69E-03	NaN	CDK2,CUL1	
OX40 Signaling Pathway	-0E00	6.26E-03	NaN	NFKBIA,NFKBIB,TRAF2	
P2Y Purigenic Receptor Signaling Pathway	-0E00	7.63E-03	NaN	PRKCE	
Gap Junction Signaling	-0E00	5.05E-03	NaN	PRKCE	
Gαi Signaling	-0E00	7.14E-03	NaN	GNAT2	
Granulocyte Adhesion and Diapedesis	-0E00	5.29E-03	NaN	IL1RAPL1	
TEC Kinase Signaling	-0E00	5.18E-03	NaN	GNAT2,PRKCE,RHOA	
SAPK/JNK Signaling	-0E00	5.98E-03	NaN	MAP2K7,MAP3K7,TRAF2	
GABA Receptor Signaling	-0E00	7.52E-03	NaN	GNAT2	
B Cell Receptor Signaling	-0E00	7.95E-03	NaN	MAP2K7,MAP3K7,NFKBIA,NFKBIB,PTEN	
WNT/β-catenin Signaling	-0E00	5.78E-03	NaN	MAP3K7	
T Cell Receptor Signaling	-0E00	4.89E-03	NaN	MAP2K7,NFKBIA,NFKBIB	
Gustation Pathway	-0E00	4.93E-03	NaN	SCNN1G	
Phagosome Formation	-0E00	7.24E-03	NaN	MAP2K7,PRKCE,PRLHR,PTGIR,RHOA	
Th1 and Th2 Activation Pathway	-0E00	5.81E-03	NaN	IKZF1	
Th2 Pathway	-0E00	7.3E-03	NaN	IKZF1	
Neuroinflammation Signaling Pathway	-0E00	6.35E-03	NaN	BIRC3,IDE	
Th17 Activation Pathway	-0E00	2.07E-03	NaN	AHR	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00	4.69E-03	NaN	CASP9,MAP2K7,RHOA	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	-0E00	4.15E-03	NaN	MAP3K7,PRKCE,TRAF2	
White Adipose Tissue Browning Pathway	-0E00	7.35E-03	NaN	CTBP1	
Tumor Microenvironment Pathway	-0E00	5.59E-03	NaN	SLC2A1	
Calcium Signaling	-0E00	4.63E-03	NaN	CABIN1	
