"","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-2_12.RCC","20201201_30102534601221-01_P0092 D3 IFNy(100ng-mL)-1_06.RCC","20201202_30102534611221-01_P0092 D3 IFNy(100ng-mL)-3_06.RCC","20201201_30102534601221-01_P0092 D0 Control-3_03.RCC","20201201_30102534601221-01_P0092 D0 Control-1_01.RCC","20201201_30102534601221-01_P0092 D0 Control-2_02.RCC","20201201_30102534601221-01_P0092 D3 IgG1(250ug-mL)-1_04.RCC","20201201_30102534601221-01_P0092 D3 NMC1(30ug-mL)-1_07.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-2_11.RCC","20201201_30102534601221-01_P0092 D3 NMC2(100ug-mL)-1_09.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-3_09.RCC","20201201_30102534601221-01_P0092 D3 aPD1(250ug-mL)-1_05.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-2_01.RCC","20201202_30102534611221-01_P0092 D3 IgG1(250ug-mL)-3_04.RCC","20201202_30102534611221-01_P0092 D3 Control-2_11.RCC","20201202_30102534611221-01_P0092 D3 Control-1_10.RCC","20201202_30102534611221-01_P0092 D3 NMC1(30ug-mL)-3_07.RCC","20201202_30102534611221-01_P0092 D3 aPD1(250ug-mL)-3_05.RCC","20201202_30102534611221-01_P0092 D3 Control-3_12.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-3_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(100ug-mL)-2_03.RCC","20201201_30102534601221-01_P0092 D3 NMC2(30ug-mL)-1_08.RCC","20201202_30102534611221-01_P0092 D3 NMC2(30ug-mL)-2_02.RCC","20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IFNg_100ngml(2).RCC","20210108_P0090_D3_NMC2_100ugml(2).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IgG1_100ugml(2).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(2).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D0_Control(3).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(2).RCC","20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(3).RCC"
"MXI1 - mRNA",4.86987589609031,5.20860172928105,4.85030797517794,5.13400147896613,5.40155452787949,5.54262242356294,4.98881727230571,3.92893639276259,4.70774194079938,4.68653139772546,4.53234358098785,4.27622678645075,4.72969197592418,4.62838458657898,4.96009653267979,5.04663777562254,4.56550456745704,4.53618342092605,4.62682283086894,4.68061641113247,4.50670818306593,4.66659567129429,4.87083192914802,2.91043833744184,2.54527724159701,4.26985221203887,6.40058137372345,4.45440721921336,4.35155787445556,5.56995431566748,5.89656050427173,5.46377617310239,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"CDC25C - mRNA",4.3723762279125,5.13265284125078,4.26418427134966,4.06361217572589,4.22098227086078,3.8336006574892,4.28837753712648,4.51389886191003,4.83327296090355,4.59342213900103,3.96530287511892,4.23042307522126,3.91440445965446,4.00278000803248,5.05631174029071,3.92733888939512,4.03498986429794,4.38418032057216,4.38866312361939,4.64499252812333,4.23752157791388,4.1640953307651,4.23100754040594,2.91043833744184,2.54527724159701,4.26985221203887,3.93411062164778,4.45440721921336,4.35155787445556,3.87715075821664,4.01929466474245,4.3416253841596,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"TNFRSF17 - mRNA",3.02725899348659,3.76837321281131,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.16284679599449,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.13966999639742,4.26985221203887,3.93411062164778,4.45440721921336,4.35155787445556,4.61886400118568,4.01929466474245,4.3416253841596,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"CD79A - mRNA",3.02725899348659,3.76837321281131,4.26418427134966,3.22754347715212,4.22098227086078,3.8336006574892,3.15322408847478,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.13966999639742,4.26985221203887,3.93411062164778,4.45440721921336,4.35155787445556,3.87715075821664,4.01929466474245,4.3416253841596,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"HLA-DQA2 - mRNA",3.02725899348659,3.76837321281131,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.15322408847478,3.28005479309131,3.25200336261259,3.68653145375125,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.55470747009866,4.26985221203887,3.93411062164778,4.45440721921336,4.35155787445556,3.87715075821664,4.01929466474245,4.3416253841596,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"COL6A3 - mRNA",3.02725899348659,3.76837321281131,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.40385477158455,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.36745850541612,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,2.54527724159701,4.26985221203887,6.32257887405545,4.45440721921336,4.35155787445556,3.87715075821664,4.01929466474245,4.3416253841596,6.09645362748722,6.03330132545379,5.75773873436727,3.22973526082972,4.09524779768106,3.91156206901603
"GZMB - mRNA",3.02725899348659,3.76837321281131,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.15322408847478,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,2.54527724159701,4.26985221203887,3.93411062164778,4.45440721921336,4.35155787445556,3.87715075821664,4.01929466474245,4.3416253841596,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"MAP3K12 - mRNA",3.45483838036493,3.76837321281131,4.26418427134966,3.22754347715212,4.12144656968029,3.8336006574892,3.15322408847478,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,2.54527724159701,4.26985221203887,3.93411062164778,4.45440721921336,4.35155787445556,3.87715075821664,4.01929466474245,4.3416253841596,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"BTLA - mRNA",3.02725899348659,3.76837321281131,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.15322408847478,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,2.54527724159701,4.26985221203887,3.93411062164778,4.45440721921336,5.92709298445209,5.03390150046453,5.36604574990096,5.95854086063391,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"GMIP - mRNA",3.02725899348659,3.8300900904214,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.51076992682067,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,2.54527724159701,4.26985221203887,3.93411062164778,4.45440721921336,4.35155787445556,5.29693580354497,5.89656050427173,5.58930700070302,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"CCL13 - mRNA",4.28491346937859,4.78118049343834,4.37823970510293,3.22754347715212,3.62067906837731,3.8336006574892,3.28837746329454,3.28005479309131,3.25200336261259,4.14596311313458,3.73397738523361,3.92008307450792,3.91440445965446,3.86055981959543,4.00247237281457,4.11375199925841,4.18699299294614,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.48602349003187,4.29659587008264,2.91043833744184,6.55470747009866,4.26985221203887,6.15265388162591,4.45440721921336,4.35155787445556,5.95990088193683,5.83997694103187,6.67676986310567,5.83341910779822,5.63475190390678,4.50542934588126,6.84786758418782,4.09524779768106,6.95033625825809
"WNT5B - mRNA",3.74434497363767,3.76837321281131,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.16284679599449,3.28005479309131,3.25200336261259,3.93445894360503,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.97624850884127,3.77485757206847,4.12105553054116,4.26652061062843,4.22995485585738,4.12022759048781,4.0848124687923,4.05267037799628,2.91043833744184,6.72463240162888,6.57424022908534,6.32257887405545,4.45440721921336,6.39275645051219,6.17140496816718,6.75070963883881,6.7592320420997,4.41174369862063,4.42126935699206,4.50542934588126,6.46935601729441,4.09524779768106,6.86287351252155
"MMP1 - mRNA",3.86987594542993,4.24512756434064,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.16284679599449,3.28005479309131,3.7077419960075,3.93445894360503,4.11730606092727,4.27622678645075,3.93914531803982,3.86055981959543,4.00247237281457,3.85844168851072,3.86506491786055,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.38648775210155,4.23100754040594,2.91043833744184,7.36206247327378,4.26985221203887,7.10685011613101,7.03811538735184,6.17863172963434,6.73434112375637,7.53597086794703,8.0377676213824,4.41174369862063,4.42126935699206,4.50542934588126,7.84786759045008,4.09524779768106,3.91156206901603
"FCAR - mRNA",4.1918040008456,4.56705564401224,4.26418427134966,4.20111573085002,3.62067906837731,4.41333946271721,3.28837746329454,3.92893639276259,3.25200336261259,4.44141893931449,3.8542715885919,3.92008307450792,3.91440445965446,3.86055981959543,4.80255518973568,4.06935777573496,3.98054212766442,4.12105553054116,4.26652061062843,4.53251776302075,4.12022759048781,4.0848124687923,4.05267037799628,2.91043833744184,6.13966999639742,6.89616839058949,6.15265388162591,6.52910188678928,6.48897180398796,6.0339015224831,6.75070963883881,6.43060925747148,5.64899462176469,4.42126935699206,5.70882918629454,6.46935601729441,4.09524779768106,3.91156206901603
"ZAP70 - mRNA",4.45483844615109,4.31551696106526,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.16284679599449,3.39842165501467,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.56154713722873,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.55470747009866,6.64462977182308,3.93411062164778,6.41362469670674,4.35155787445556,6.20382636490237,6.62238556336083,6.36189653675834,4.41174369862063,4.42126935699206,5.55128793689132,6.46935601729441,4.09524779768106,3.91156206901603
"SLC11A1 - mRNA",3.60684157906784,3.76837321281131,4.26418427134966,3.22754347715212,3.62067906837731,4.32022998159229,3.15322408847478,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.36206246450432,4.26985221203887,3.93411062164778,4.45440721921336,6.39275645051219,5.2355353003651,4.01929466474245,4.3416253841596,5.89000267703569,6.03330132545379,5.75773873436727,6.73239031458239,4.09524779768106,3.91156206901603
"IL2RG - mRNA",3.74434497363767,3.8300900904214,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.15322408847478,3.55042469373196,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.36206246450432,4.26985221203887,6.7376163282704,4.45440721921336,6.05833745175314,5.46686086207248,5.83997694103187,6.28974663586197,7.29808746573916,6.69888225142617,7.02077313131313,6.46935601729441,4.09524779768106,3.91156206901603
"CD38 - mRNA",4.53284088544134,4.62363917003772,4.63349671722099,3.22754347715212,4.31409169942814,4.93690134518077,3.15322408847478,3.28005479309131,3.25200336261259,3.77399421590636,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.62567740292717,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.36206246450432,6.89616839058949,6.85309354361047,4.45440721921336,6.11973794680552,5.46686086207248,4.01929466474245,5.64820078085254,4.41174369862063,5.76028280534835,5.8508481937529,6.84786758418782,4.09524779768106,3.91156206901603
"TNFRSF8 - mRNA",4.09226842315452,4.24512756434064,4.26418427134966,3.22754347715212,3.62067906837731,4.58326435131623,3.15322408847478,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.36206246450432,4.26985221203887,6.15265388162591,6.47251831468308,6.05833745175314,5.61886400118568,6.00347570299873,6.25227201973404,4.41174369862063,4.42126935699206,4.50542934588126,6.84786758418782,4.09524779768106,3.91156206901603
"CD79B - mRNA",3.98535323875698,3.76837321281131,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.15322408847478,3.39842165501467,3.25200336261259,3.93445894360503,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.55470747009866,4.26985221203887,6.40058137372345,4.45440721921336,4.35155787445556,5.2355353003651,5.71968273797587,5.52790648209607,4.41174369862063,4.42126935699206,4.50542934588126,6.46935601729441,4.09524779768106,3.91156206901603
"MAGEC2 - mRNA",3.74434497363767,3.76837321281131,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.15322408847478,3.28005479309131,3.25200336261259,3.68653145375125,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.18957829155812,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.72463240162888,4.26985221203887,6.32257887405545,4.45440721921336,5.92709298445209,5.95990088193683,6.054101806311,6.21379796603665,4.41174369862063,4.42126935699206,4.50542934588126,6.95478275142539,4.09524779768106,3.91156206901603
"DLL1 - mRNA",3.60684157906784,4.44676134943146,4.33093386776487,4.20111573085002,4.48401674116359,4.50080224422698,3.15322408847478,3.87235273936433,3.33577321212547,4.27149395447241,4.16461172207533,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,4.23928285356494,4.03498986429794,4.12105553054116,4.26652061062843,4.22995485585738,4.12022759048781,4.24209789359222,4.01419601636628,2.91043833744184,6.36206246450432,4.26985221203887,6.24011670856184,4.45440721921336,4.35155787445556,6.56995431566748,6.62238556336083,6.58930700070302,4.41174369862063,4.42126935699206,5.60573563203428,3.22973526082972,4.09524779768106,3.91156206901603
"NCAM1 - mRNA",4.09226842315452,4.50816195749463,4.26418427134966,4.20111573085002,3.62067906837731,4.41333946271721,3.28837746329454,3.28005479309131,3.25200336261259,3.6736857632649,3.73397738523361,3.77884282319957,3.91440445965446,3.86055981959543,4.35004308026861,3.85844168851072,3.92395855542951,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.13966999639742,4.26985221203887,3.93411062164778,4.45440721921336,4.35155787445556,6.13823804557785,6.15031719651318,5.70478428266462,4.41174369862063,4.42126935699206,5.43581075280117,3.22973526082972,4.09524779768106,3.91156206901603
"CCNA1 - mRNA",4.09226842315452,4.17112698690101,4.26418427134966,3.22754347715212,3.62067906837731,4.58326435131623,3.610305676313,3.28005479309131,3.25200336261259,4.21009339032103,3.58216372449965,4.40550972468467,3.91440445965446,3.86055981959543,4.00247237281457,4.59291982146445,4.08745732505287,4.30171822946853,4.26652061062843,4.20372495845441,4.12022759048781,4.20362387765003,4.12667094205287,2.91043833744184,6.72463240162888,4.26985221203887,3.93411062164778,4.45440721921336,4.35155787445556,5.79943617429573,6.28358366584438,6.61905427315769,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"C5AR1 - mRNA",3.86987594542993,3.76837321281131,4.26418427134966,3.22754347715212,3.62067906837731,3.8336006574892,3.15322408847478,3.28005479309131,3.49623786175689,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.87663543914425,6.89616839058949,3.93411062164778,6.52910188678928,6.34213056079025,5.95990088193683,5.58843821121584,6.52790648209607,4.41174369862063,5.81917659235191,5.37441017480725,3.22973526082972,4.09524779768106,3.91156206901603
"IL4 - mRNA",3.02725899348659,3.76837321281131,4.26418427134966,4.32664656717984,3.62067906837731,3.8336006574892,3.16284679599449,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.36206246450432,4.26985221203887,3.93411062164778,6.52910188678928,5.92709298445209,5.5193282773066,5.58843821121584,6.17426954137854,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"NOS2 - mRNA",4.53284088544134,5.05248249726665,5.00900571911311,3.22754347715212,3.62067906837731,3.8336006574892,3.15322408847478,3.28005479309131,3.9487501549662,3.93445894360503,3.8542715885919,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,4.52878945687126,4.03498986429794,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.87663543914425,4.26985221203887,3.93411062164778,6.35222396441639,6.05833745175314,5.88189830426612,6.40557413866893,6.49619770019288,4.41174369862063,4.42126935699206,4.50542934588126,3.22973526082972,4.09524779768106,3.91156206901603
"FPR1 - mRNA",4.86987589609031,4.50816195749463,4.37823970510293,4.20111573085002,4.12144656968029,4.93690134518077,3.51076992682067,3.98338411012936,3.25200336261259,4.07884889787317,4.29787818432355,3.97666653322892,4.48457951030958,3.86055981959543,4.18957829155812,4.15682065742583,3.92395855542951,4.12105553054116,4.26652061062843,4.36745850541612,4.12022759048781,4.45360199185513,4.41945259689316,6.47739081601437,6.72463240162888,4.26985221203887,6.15265388162591,6.58354960601191,6.70470049593573,6.77806248561342,7.07876388556976,7.21379795631802,7.52941292153284,7.98267525140044,7.86207543696815,3.22973526082972,7.18753677583396,3.91156206901603
"IL7R - mRNA",4.09226842315452,4.78118049343834,4.37823970510293,3.22754347715212,3.62067906837731,4.50080224422698,4.0957324697315,4.22849664502114,3.9487501549662,4.49388637580886,4.76500419319027,3.8611893616283,4.34440187330421,3.86055981959543,4.18957829155812,4.74178326598839,4.23429866684342,4.12105553054116,4.26652061062843,4.81491745908942,4.12204440510784,4.69461006603487,4.58610238049573,2.91043833744184,6.72463240162888,4.26985221203887,6.67621579183532,6.95794514185333,6.92709297259681,6.90179781243852,7.17340067195857,7.39666187139073,7.61582773509589,6.87576003914788,7.07966690924611,3.22973526082972,7.11353616365691,3.91156206901603
"CD2 - mRNA",4.86987589609031,4.44676134943146,4.63349671722099,4.54903903987287,4.63601975079892,4.41333946271721,3.87334006245828,3.87235273936433,3.57023837288294,4.07884889787317,4.38034046676106,3.8611893616283,3.91440445965446,3.96095998056467,4.42404364402674,4.35476011799267,4.28010239238718,4.46218283620966,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,2.54527724159701,4.26985221203887,6.67621579183532,6.2880937176994,6.39275645051219,5.88189830426612,5.89656050427173,5.46377617310239,6.47496521019422,6.12951665279282,6.24316554630104,3.22973526082972,4.09524779768106,3.91156206901603
"TLR1 - mRNA",4.92876962658916,4.62363917003772,4.2820243587452,4.74168410240829,4.22098227086078,5.1137790402382,4.51076999010518,4.27289071074017,3.9487501549662,4.64072774967986,4.79537801799426,5.08358174041824,5.06954205399331,4.23104902643555,5.23139861408826,5.00009525981189,4.8346911445293,4.25864954526119,4.59511393221282,4.68061641113247,4.90631575948869,5.14391751683388,5.05267037799628,2.91043833744184,6.55470747009866,4.26985221203887,3.93411062164778,6.58354960601191,6.05833745175314,6.46686086207248,6.48152305342829,6.49619770019288,6.5818803793564,6.84774565286147,6.63220791773099,3.22973526082972,4.09524779768106,3.91156206901603
"LAIR1 - mRNA",3.74434497363767,3.8300900904214,4.26418427134966,4.32664656717984,4.01453133388349,4.6612668728201,4.79087794280149,4.18269301250805,4.00319788362317,3.6736857632649,4.16461172207533,3.92008307450792,4.45761247973222,4.78038769169003,5.00900607754241,4.62394678831427,4.67241974090929,4.70610845691253,4.77568612518628,4.57099188294747,4.12022759048781,4.42043510648282,4.80474272328183,2.91043833744184,6.13966999639742,4.26985221203887,3.93411062164778,4.45440721921336,6.34213056079025,5.1042908199679,5.44404830977115,4.3416253841596,6.61582773509589,7.32506741663417,7.0603016059985,3.22973526082972,4.09524779768106,3.91156206901603
"KIT - mRNA",3.02725899348659,3.76837321281131,4.26418427134966,4.44212381225332,3.62067906837731,4.73526740865142,3.15322408847478,3.28005479309131,3.25200336261259,3.85645650499427,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.35004308026861,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.41052733214867,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.72463240162888,4.26985221203887,3.93411062164778,6.35222396441639,6.57916963145516,4.88189832873121,5.71968273797587,5.64820078085254,6.89000268919971,6.03330132545379,6.02077313131313,3.22973526082972,4.09524779768106,3.91156206901603
"NCR1 - mRNA",4.09226842315452,4.38263101201175,4.26418427134966,3.22754347715212,3.62067906837731,4.41333946271721,3.51076992682067,3.55042469373196,3.25200336261259,4.49388637580886,3.66984712174103,3.77884282319957,3.91440445965446,3.86055981959543,4.27204051324531,3.85844168851072,4.03498986429794,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.55470747009866,6.95275191522904,7.43805614000572,6.99858706768376,6.96104027557121,6.49333300700726,7.21848858947201,7.09180741879068,6.47496521019422,6.53287226510026,6.34270122620049,6.73239031458239,7.67296350120489,7.2551908320093
"MAGEA1 - mRNA",3.86987594542993,4.8300900904214,4.26418427134966,4.20111573085002,4.95794778766417,4.87277105057906,4.22697702135309,4.03585155608433,3.33577321212547,4.27149395447241,3.58216372449965,3.77884282319957,3.97761962673495,3.86055981959543,4.49443289191161,4.35476011799267,4.48955571587046,4.38418032057216,4.26652061062843,4.53251776302075,4.12022759048781,4.3160983759256,3.93815666819349,2.91043833744184,6.55470747009866,6.95275191522904,7.0106348124209,6.99858706768376,6.70470049593573,6.46686086207248,6.71968272428761,6.83723457092386,5.71312489168131,6.30460337936874,5.37441017480725,7.23489065351531,7.56604834351135,7.03279858695618
"P2RY13 - mRNA",3.02725899348659,3.8300900904214,4.26418427134966,3.22754347715212,3.62067906837731,4.32022998159229,3.15322408847478,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.55470747009866,6.95275191522904,6.54497127736634,6.47251831468308,6.57916963145516,6.0339015224831,6.28358366584438,6.43060925747148,6.54711493621781,6.12951665279282,6.31027980102777,6.95478275142539,7.18753677583396,3.91156206901603
"IL18R1 - mRNA",4.98535319321271,4.50816195749463,5.03875309725286,3.22754347715212,4.48401674116359,4.93690134518077,4.02534317559185,3.98338411012936,3.9487501549662,4.07884889787317,4.06839634578844,3.92008307450792,4.12200944013114,4.39705897453426,4.90947051920089,4.59291982146445,4.28010239238718,4.42370878745768,4.62682283086894,4.45234747489338,4.47568136332491,4.0848124687923,4.12667094205287,2.91043833744184,7.13967000662845,7.38159522468096,6.7376163282704,7.1862141572639,6.66405855964985,5.29693580354497,6.24051491869874,6.46377617310239,6.51149100026028,6.56763769698669,6.55128793689132,7.46935601729441,7.77249923366744,3.91156206901603
"SERPINB5 - mRNA",4.3723762279125,4.09312447934879,4.26418427134966,4.9896115761181,4.12144656968029,5.1137790402382,3.610305676313,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.79978868747478,3.91440445965446,3.86055981959543,4.745971725473,4.06935777573496,3.80366422253074,4.12105553054116,4.26652061062843,4.36745850541612,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.13966999639742,4.26985221203887,6.7376163282704,4.45440721921336,4.35155787445556,5.56995431566748,5.83997694103187,5.58930700070302,4.41174369862063,5.81917659235191,5.37441017480725,6.46935601729441,7.18753677583396,6.86287351252155
"TNFSF9 - mRNA",3.02725899348659,4.24512756434064,4.51150618087574,4.64857461892767,4.89905417597342,4.87277105057906,3.15322408847478,3.28005479309131,3.41823529293321,4.00845954863861,3.58216372449965,3.77884282319957,3.91440445965446,4.00278000803248,4.35004308026861,4.02355424136128,3.86506491786055,4.12114598382671,4.26652061062843,4.20372495845441,4.30967133755426,4.0848124687923,4.12667094205287,2.91043833744184,6.13966999639742,7.15920292158209,6.90754141683623,4.45440721921336,6.2352151913558,5.66616971028183,5.78108331914206,6.04873863023697,4.41174369862063,6.38477373643857,5.75773873436727,6.73239031458239,7.62049604858206,6.95033625825809
"CXCL13 - mRNA",3.02725899348659,3.8300900904214,4.26418427134966,3.22754347715212,3.62067906837731,4.41333946271721,3.15322408847478,3.28005479309131,3.25200336261259,3.6736857632649,3.58216372449965,3.77884282319957,3.91440445965446,3.86055981959543,4.00247237281457,3.85844168851072,3.77485757206847,4.12105553054116,4.26652061062843,4.20372495845441,4.12022759048781,4.0848124687923,3.93815666819349,2.91043833744184,6.55470747009866,6.95275191522904,3.93411062164778,4.45440721921336,6.17863172963434,4.88189832873121,5.58843821121584,5.58930700070302,6.97092264764889,6.38477373643857,6.34270122620049,3.22973526082972,7.03553360651072,6.95033625825809
